,rank,Youtuber,subscribers,video views,Title,uploads,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings
786,787,Supercar Blondie,14100000,5405563355.0,Supercar Blondie,855,88300.0,1400000.0,1100000.0,17000000.0
787,788,Yudist Ardhana,14100000,6036496916.0,Yudist Ardhana,2854,44000.0,704200.0,528200.0,8500000.0
788,789,Lana Del Rey,14100000,6884215292.0,Lana Del Rey,43,33900.0,542300.0,406700.0,6500000.0
789,790,MalumaVEVO,14100000,19013942981.0,MalumaVEVO,182,24700.0,395300.0,296500.0,4700000.0
790,791,F2Freestylers - Ultimate Soccer Skills Channel,14100000,3280481927.0,F2Freestylers - Ultimate Soccer Skills Channï¿½,777,2600.0,40900.0,30700.0,490600.0
791,792,Bie The Ska,14100000,4627069704.0,Bie The Ska,1540,3100.0,50000.0,37500.0,600100.0
792,793,AM3NlC,14000000,4959982720.0,AM3NlC,5757,2600.0,40800.0,30600.0,490100.0
793,794,Narins Beauty,14000000,2214167846.0,Narins Beauty,431,3400.0,54800.0,41100.0,658000.0
794,795,TV Ana Emilia,14000000,4674164601.0,TV Ana Emilia,651,6700.0,107100.0,80300.0,1300000.0
795,796,ýýýýýýýýýýýý,14000000,7719743112.0,ýýýýýýýýýýýý,2210,37600.0,602300.0,451700.0,7200000.0
796,797,Luli Pampï¿½,14000000,8623705301.0,Luli Pampï¿½,294,50400.0,806600.0,605000.0,9700000.0
797,798,Gallina Pintadita,14000000,9660950823.0,Gallina Pintadita,62,17700.0,282500.0,211900.0,3400000.0
798,799,ViralHog,14000000,18917687143.0,ViralHog,41117,340900.0,5500000.0,4100000.0,65500000.0
799,800,ETV Jabardasth,14000000,13542939513.0,ETV Jabardasth,9652,33400.0,534300.0,400800.0,6400000.0
800,801,Zee Telugu,14000000,12597067132.0,zeetelugu,3,0.0,0.03,0.02,0.34
801,802,Crescendo com Luluca,14000000,5094050461.0,Crescendo com Luluca,1307,17000.0,272200.0,204200.0,3300000.0
802,803,Jazzghost,13900000,5673347763.0,Jazzghost,5494,26700.0,426900.0,320200.0,5100000.0
803,804,karameeshchannel,13900000,9106781518.0,karameeshchannel,2254,21900.0,350600.0,262900.0,4200000.0
804,805,Darkar Company Studios,13900000,2244318380.0,Darkar Company Studios,183,1100.0,18400.0,13800.0,220700.0
805,806,Dental Digest,13900000,7450345720.0,Dental Digest,324,57900.0,926200.0,694700.0,11100000.0
806,807,T-Series Regional,13900000,5217553897.0,T-Series Regional,15075,8400.0,133900.0,100500.0,1600000.0
807,808,ADEL et SAMI,13900000,5465532801.0,ADEL et SAMI,503,6700.0,107500.0,80600.0,1300000.0
808,809,Jamuna TV,13900000,12129583055.0,jamuna tv24,6,0.0,0.0,0.0,0.05
809,810,Atlantic Records,13900000,12513842343.0,Atlantic Records,1660,24300.0,389100.0,291900.0,4700000.0
810,811,ýýýýýýýý ýý ýýýýýýýýýýýý,13900000,8451754769.0,ýýýýýýýý ýý ýýýýýýýýýýýý,504,28600.0,457000.0,342800.0,5500000.0
811,812,Veritasium,13900000,2165885634.0,Veritasium,369,11000.0,176600.0,132400.0,2100000.0
812,813,Alexa Rivera,13900000,3193226072.0,Alexa Rivera,288,35700.0,571000.0,428300.0,6900000.0
813,814,Airrack,13800000,2224911030.0,Airrack,173,24900.0,398600.0,299000.0,4800000.0
814,815,Hacksmith Industries,13800000,1820559912.0,Hacksmith Industries,887,21000.0,335800.0,251800.0,4000000.0
815,816,JD Pantoja,13800000,1493776391.0,JD Pantoja,16,3400.0,54100.0,40600.0,649600.0
816,817,ýýýýýýýý/Atro,13800000,2480957682.0,ýýýýýýýý/Atro,1952,13800.0,220500.0,165400.0,2600000.0
817,818,123 GO! Spanish,13800000,5019136690.0,123 GO! Spanish,520,6600.0,106100.0,79600.0,1300000.0
818,819,Geo News,13800000,5727888539.0,Geo News,190093,25000.0,400200.0,300200.0,4800000.0
819,820,Kids TV India Hindi Nursery Rhymes,13800000,6646953396.0,Kids TV India Hindi Nursery Rhymes,1505,19700.0,314600.0,236000.0,3800000.0
820,821,Think Music India,13800000,11039343563.0,Think Music India,4978,54300.0,868400.0,651300.0,10400000.0
821,822,O Que Nï¿½ï¿½ï¿½ï¿½ï¿½ï¿,13700000,1967930734.0,O Que Nï¿½ï¿½ï¿½ï¿½ï¿½ï¿,696,22000.0,351200.0,263400.0,4200000.0
822,823,Goldmines Premiere,13700000,1973638757.0,Goldmines Premiere,975,9400.0,150600.0,112900.0,1800000.0
823,824,MAIKI021,13700000,1950178163.0,MAIKI021,3298,1900.0,29800.0,22300.0,357000.0
824,825,The Vishal bhatt,13700000,9596430464.0,The Vishal bhatt,1040,94800.0,1500000.0,1100000.0,18200000.0
825,826,NishaMadhulika,13700000,2939201386.0,NishaMadhulika,2158,5600.0,88900.0,66700.0,1100000.0
826,827,MyMissAnand,13700000,4963275018.0,MyMissAnand,340,7000.0,111500.0,83600.0,1300000.0
827,828,FAPTV,13700000,5457203710.0,FAPTV,863,8800.0,140500.0,105400.0,1700000.0
828,829,Wesley Safadï¿½,13700000,8134379376.0,Wesley Safadï¿½,438,16000.0,256200.0,192200.0,3100000.0
829,830,infobells,13700000,5178142148.0,infobells,495,6000.0,95600.0,71700.0,1100000.0
830,831,Desi Gamers,13700000,2135195239.0,Desi gamers,1,0.0,0.02,0.02,0.24
831,832,Acenix,13600000,2122062016.0,Acenix,368,11900.0,189700.0,142300.0,2300000.0
832,833,Zeinab Harake,13600000,896891351.0,Zeinab Harake,273,3000.0,48400.0,36300.0,580200.0
833,834,DALLMYD,13600000,1948925559.0,DALLMYD,412,7700.0,122700.0,92000.0,1500000.0
834,835,Lindsey Stirling,13600000,3764608356.0,Lindsey Stirling,199,3800.0,61100.0,45800.0,733300.0
835,836,JOJO TV - Hindi Stories,13600000,5141201173.0,JOJO TV - Hindi Stories,1097,2700.0,43100.0,32300.0,516700.0
836,837,BBC,13600000,9685060624.0,BBC,16047,11100.0,177700.0,133200.0,2100000.0
837,838,Saturday Night Live,13600000,14717282742.0,Saturday Night Live,8335,14200.0,226500.0,169900.0,2700000.0
838,839,BUDI01 GAMING,13500000,1181292450.0,BUDI01 GAMING,319,3400.0,53700.0,40300.0,644900.0
839,840,Typical Gamer,13500000,4301581610.0,Typical Gamer,4312,8100.0,130200.0,97700.0,1600000.0
840,841,Anaysa,13500000,3445794123.0,Anaysa,591,7400.0,118800.0,89100.0,1400000.0
841,842,JULIA GISELLA,13500000,5380132790.0,Julia Gisella,19,0.4,6.0,5.0,78.0
842,843,Awakening Music,13500000,5545936485.0,Awakening Music,814,8800.0,141200.0,105900.0,1700000.0
843,844,Lady Diana,13500000,8265920659.0,Lady Diana,1403,18800.0,300600.0,225500.0,3600000.0
844,845,Sanjoy Das Official,13500000,3912334359.0,Sanjoy Das Official,1793,44800.0,716900.0,537700.0,8600000.0
845,846,Woody & Kleiny,13500000,11717217293.0,Woody & Kleiny,975,123900.0,2000000.0,1500000.0,23800000.0
846,847,Vijay Kumar Viner Vlogs,13500000,7958771872.0,Vijay Kumar Viner Vlogs,1357,27500.0,439300.0,329400.0,5300000.0
847,848,Conor Maynard,13500000,2750993392.0,Conor Maynard,321,2700.0,43100.0,32400.0,517800.0
848,849,Wengie,13500000,1900272833.0,Wengie,462,334.0,5300.0,4000.0,64100.0
849,850,Vlad y Niki Show,13400000,4622628957.0,Vlad y Niki Show,477,23100.0,368900.0,276700.0,4400000.0
850,851,Codiscos,13400000,11789678655.0,Codiscos,7356,57200.0,915600.0,686700.0,11000000.0
851,852,The World Adventures ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,13400000,2139769210.0,The World Adventures ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,1028,261.0,4200.0,3100.0,50100.0
852,853,Vibhu 96,13400000,20563378.0,Vibhu 96,256,5100.0,81100.0,60800.0,972700.0
853,854,Blockbuster Movies,13400000,2650061211.0,Blockbuster Movies,0,0.0,0.0,0.0,0.0
854,855,ATHLEAN-Xï¿½,13400000,2319515787.0,ATHLEAN-Xï¿½,1349,3600.0,58000.0,43500.0,695900.0
855,856,My Mate Nate,13400000,3363634923.0,My Mate Nate,1195,10400.0,166700.0,125000.0,2000000.0
